Frame,Openness,MAR,Kelas
1,0.3083333333333333,0.4143054305697001,2
2,0.3435267857142857,0.4467758079416556,2
3,0.2916666666666667,0.4112864567600021,2
4,0.4334848484848485,0.4445420368325836,2
5,0.3739316239316239,0.436406105572967,2
6,0.4695238095238095,0.4143054305697001,2
7,0.4725694444444444,0.3922633788357441,2
8,0.5067460317460317,0.407568631115802,2
9,0.478422619047619,0.3751857289532627,2
10,0.4497023809523809,0.4340873026151493,2
11,0.461904761904762,0.4087803002683485,2
12,0.475,0.4112864567600021,2
13,0.3614285714285714,0.3934746942630246,2
14,0.456875,0.4100751413327215,2
15,0.4976190476190475,0.4143054305697001,2
16,0.4614583333333332,0.4278693293358633,2
17,0.4535714285714284,0.3930122119300043,2
18,0.4047619047619048,0.4290282319769505,2
19,0.4666666666666667,0.4130850879171835,2
20,0.4257936507936508,0.4143054305697001,2
21,0.4607142857142857,0.4161636761312272,2
22,0.4845238095238095,0.4264376391111987,2
23,0.4483193277310923,0.4131862975571906,2
24,0.5291666666666668,0.4186643303560186,2
25,0.4860119047619047,0.3934746942630246,2
26,0.3703571428571428,0.4171272308857954,2
27,0.3279166666666667,0.4290282319769505,2
28,0.4975,0.3959857746533461,2
29,0.5162500000000001,0.420188791906566,2
30,0.488125,0.4276735451975137,2
31,0.4369047619047618,0.3971049076658556,2
32,0.4302083333333332,0.4290282319769505,2
33,0.2929292929292929,0.4260544658936316,2
34,0.325,0.4524826584864755,2
35,0.4285714285714285,0.4298472493918053,2
36,0.5152777777777777,0.4385686594731801,2
37,0.475892857142857,0.4372392073918525,2
38,0.4562091503267974,0.410840369142563,2
39,0.4577380952380952,0.4182499351862577,2
40,0.4917892156862745,0.4210590941934027,2
41,0.5152777777777777,0.4038449578772122,2
42,0.5041666666666667,0.4111199204561649,2
43,0.4360294117647058,0.4075486356386914,2
44,0.4944444444444444,0.4108579771862105,2
45,0.4583333333333333,0.4135473100773466,2
46,0.4636904761904761,0.4539077149555086,2
47,0.4688888888888888,0.4465318996549755,2
48,0.4810457516339869,0.4464285714285714,2
49,0.4503472222222222,0.4139217231718631,2
50,0.5123161764705884,0.4289594440436192,2
51,0.4840277777777778,0.4139217231718631,2
52,0.4779761904761905,0.430778447997236,2
53,0.5204861111111112,0.4137931034482758,2
54,0.4497023809523809,0.410840369142563,2
55,0.4779761904761905,0.396551724137931,2
56,0.4814484126984127,0.4137931034482758,2
57,0.4515406162464986,0.4282983661489498,2
