Frame,EAR,MAR,PERCLOS
0,0.30445042020928614,0.3862261860305143,0
1,0.355653866240663,0.3621429841700741,0.0
2,0.3507069966533359,0.4979466032338519,0.0
3,0.34025573739258924,0.2906591794880899,0.0
4,0.28702823541107536,0.41115734090379125,0.25
5,0.3175284646653165,0.41866392628996246,0.0
6,0.26037183884438775,0.2951151054290925,0.16666666666666666
7,0.28300577535501736,0.41115734090379125,0.2857142857142857
8,0.3412254912355601,0.40741085719133335,0.0
9,0.2716072381275556,0.37714118636309246,0.1111111111111111
10,0.29057689285877364,0.45267873021259264,0.2
11,0.3119962564107116,0.31008683647302115,0.0
12,0.39055775826658157,0.4021324658641261,0.0
13,0.30492424242424243,0.4021324658641261,0.0
14,0.2991399689037029,0.37838887819712547,0.07142857142857142
15,0.3145609569444129,0.45130249138614487,0.0
16,0.3125,0.3206215948612728,0.0
17,0.2996794871794872,0.3206215948612728,0.058823529411764705
18,0.30247028573044443,0.4021324658641261,0.0
19,0.32766892277477533,0.45,0.0
20,0.32510422224107405,0.35238060635362667,0.0
21,0.3484848484848485,0.3621429841700741,0.0
22,0.24956821978060995,0.4021324658641261,0.045454545454545456
23,0.27296625364764454,0.3644102472742758,0.08695652173913043
24,0.29166666666666663,0.37484880463356574,0.125
25,0.33301407081289053,0.3206215948612728,0.0
26,0.3050349862641457,0.2862991671569341,0.0
27,0.30492424242424243,0.3644102472742758,0.0
28,0.23863636363636365,0.4123212641757034,0.03571428571428571
29,0.1947024127091852,0.3206215948612728,0.06896551724137931
30,0.1947024127091852,0.3653600728534992,0.1
31,0.22560169004861313,0.3321819194149599,0.12903225806451613
32,0.302736535742553,0.3528177284608229,0.0
33,0.25322144755697495,0.45267873021259264,0.030303030303030304
34,0.26769330514057316,0.3673982968317372,0.058823529411764705
35,0.22727272727272727,0.3621429841700741,0.08571428571428572
36,0.2887321798526208,0.40249223594996214,0.1111111111111111
37,0.2898605605679873,0.3287979746107146,0.13513513513513514
38,0.35594969010492994,0.41115734090379125,0.0
39,0.28965602257032963,0.3673982968317372,0.02564102564102564
40,0.2816369523971112,0.40814490404211323,0.05
41,0.2758553840676046,0.41115734090379125,0.07317073170731707
42,0.3125,0.4119508639429815,0.0
43,0.4,0.2916666666666667,0.0
44,0.30492424242424243,0.40155063187564544,0.0
45,0.32714777156222674,0.3181818181818182,0.0
